ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ZENITHEXPO","EQ","04-Dec-2025","237.00","233.40","237.50","226.35","237.00","228.15","228.22","995","2,27,078.40","31","785","78.89"
"ZENITHEXPO","EQ","05-Dec-2025","228.15","233.00","239.00","227.50","239.00","237.25","234.80","1,270","2,98,194.05","51","633","49.84"
"ZENITHEXPO","EQ","08-Dec-2025","237.25","239.55","248.00","232.40","234.40","234.40","241.48","826","1,99,465.90","42","499","60.41"
"ZENITHEXPO","EQ","09-Dec-2025","234.40","231.50","234.40","231.50","234.40","234.40","232.97","160","37,274.80","37","153","95.63"
"ZENITHEXPO","EQ","10-Dec-2025","234.40","234.40","242.40","231.00","232.00","234.70","237.45","1,682","3,99,389.05","116","1,258","74.79"
"ZENITHEXPO","EQ","11-Dec-2025","234.70","234.00","243.40","227.00","242.00","241.40","234.20","2,542","5,95,342.80","185","2,094","82.38"
"ZENITHEXPO","EQ","12-Dec-2025","241.40","237.80","249.30","233.90","244.90","245.00","242.57","2,811","6,81,869.10","129","2,466","87.73"
"ZENITHEXPO","EQ","15-Dec-2025","245.00","244.90","249.00","235.40","247.95","243.95","239.90","2,590","6,21,343.15","240","2,046","79.00"
"ZENITHEXPO","EQ","16-Dec-2025","243.95","243.95","247.40","232.00","232.00","234.85","239.25","2,257","5,39,983.35","213","1,352","59.90"
"ZENITHEXPO","EQ","17-Dec-2025","234.85","234.90","244.80","230.45","244.80","238.55","235.58","1,379","3,24,861.90","78","1,287","93.33"
"ZENITHEXPO","EQ","18-Dec-2025","238.55","250.00","250.00","229.00","230.00","229.45","236.28","1,032","2,43,844.85","98","524","50.78"
